CM Course,Type Key,State Key,Name,Descr,formatID,shortName
BSCI442,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
BSCI443,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI446,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI447,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI453,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI454,,,Lab Only,Courses with Lab only,,LAB
BSCI465,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI467,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI467,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
BSCI471,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI473,,,Lecture Only,Courses with Lecture only,,LEC 
BSCI481,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
CHEM131,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
CHEM132,,,Lab Only,Courses with Lab only,,LAB
CHEM135,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
CHEM136,,,Lab Only,Courses with Lab only,,LAB
CHEM146,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
CHEM147,,,Lab Only,Courses with Lab only,,LAB
CHEM231,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
CHEM232,,,Lab Only,Courses with Lab only,,LAB
CHEM241,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
CHEM242,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
CHEM247,,,Lecture/Lab/Discussion,Courses with Lecure/Lab/Discussion,,LEC/LAB/DIS
CHEM271,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
CHEM272,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
CHEM277,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
CHEM398,,,Lecture Only,Courses with Lecture only,,LEC 
CHEM399,,,Lecture Only,Courses with Lecture only,,LEC 
CHEM403,,,Lecture Only,Courses with Lecture only,,LEC 
CHEM425,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
CHEM441,,,Lecture Only,Courses with Lecture only,,LEC 
CHEM460,,,Lecture Only,Courses with Lecture only,,LEC 
CHEM474,,,Lecture Only,Courses with Lecture only,,LEC 
CHEM481,,,Lecture Only,Courses with Lecture only,,LEC 
CHEM482,,,Lecture Only,Courses with Lecture only,,LEC 
CHEM483,,,Dis Only,Courses with Discussion only,,DIS
CHEM483,,,Lab Only,Courses with Lab only,,LAB
CHEM484,,,Discussion/Lab,Courses with Discussion/Lab,,DIS/LAB
CHEM601,,,Lecture Only,Courses with Lecture only,,LEC 
CHEM608,,,Lecture Only,Courses with Lecture only,,LEC 
CHEM611,,,Lecture Only,Courses with Lecture only,,LEC 
CHEM626,,,Lecture Only,Courses with Lecture only,,LEC 
CHEM640,,,Lecture Only,Courses with Lecture only,,LEC 
CHEM641,,,Lecture Only,Courses with Lecture only,,LEC 
CHEM684,,,Lecture Only,Courses with Lecture only,,LEC 
CHEM689,,,Lecture Only,Courses with Lecture only,,LEC 
CHEM690,,,Lecture Only,Courses with Lecture only,,LEC 
CHEM699,,,Lecture Only,Courses with Lecture only,,LEC 
